Country;Region;Technology;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Cabo Verde;Africa;Solid biofuels and renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Bagasse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Other solid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Liquid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Biogas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cabo Verde;Africa;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;Africa;Hydropower;3442;3474;3182;3528;3920;3772;3892;3847;4232;4016;4260;4385.42;4256.05;4372.68;4372.68;4372.68;4372.68;5089.9;5089.9;5089.9;5089.9;5089.9
Cameroon;Africa;Renewable hydropower;3442;3474;3182;3528;3920;3772;3892;3847;4232;4016;4260;4385.42;4256.05;4372.68;4372.68;4372.68;4372.68;5089.9;5089.9;5089.9;5089.9;5089.9
Cameroon;Africa;Pumped storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;Africa;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;Africa;Wind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;Africa;Onshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;Africa;Offshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cameroon;Africa;Solar;0;0;0;0.137;0.137;0.137;0.137;0.275;0.275;0.687;1.374;3.298;3.847;4.946;7.694;10.168;12.366;15.933;19.5;19.5;19.672;19.672
Cameroon;Africa;Solar photovoltaic;0;0;0;0.137;0.137;0.137;0.137;0.275;0.275;0.687;1.374;3.298;3.847;4.946;7.694;10.168;12.366;15.933;19.5;19.5;19.672;19.672
Cameroon;Africa;Concentrated solar power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
